symbol,date,setup_grade,fade_grade,highest_high_date,brd_date,trend_atr,gap_atr,extension_atr,fade_atr,days_since_high,fade_type,brd_is_highest_high,brd_atr_ext_9ema,brd_atr_ext_20ema,hh_atr_ext_9ema,hh_atr_ext_20ema,hh_is_ath,d1_candle_body_ratio,d1_low_is_5day_low,d1_range_close_pct,d1_volume_multiple,d0_open_vs_vwap_hh_pct,d0_open_vs_vwap_brd_pct,d0_open_vs_9ema_atr,d0_open_vs_20ema_atr,consecutive_reds,range_position_pct,scanner_version
AVGO,2024-03-21,90,100,2024-03-04,2024-03-08,14.66,1.84,3.58,5.82,16,multiple_red,False,2.58,3.77,4.16,5.69,True,0.602,False,80.5,1.08,1.2,3.27,1.48,1.46,5,53.1,V10_Enhanced
HOOD,2025-03-03,90,90,2025-02-13,2025-02-21,20.26,2.48,3.92,9.19,15,multiple_red,False,0.67,1.94,6.74,8.92,True,0.509,False,71.5,1.32,0.41,10.81,2.24,1.6,6,46.7,V10_Enhanced
DJT,2024-11-05,90,90,2024-10-29,2024-10-30,8.92,0.85,2.32,5.51,6,multiple_red,False,2.99,4.79,4.46,6.45,False,0.581,True,79.4,1.76,-4.74,3.16,0.45,1.24,4,33.5,V10_Enhanced
SOXL,2024-03-21,90,70,2024-03-08,2024-03-08,20.09,2.19,3.63,7.13,12,multiple_red,True,5.06,7.24,5.06,7.24,True,0.57,False,87.4,1.02,3.96,3.96,1.53,1.84,2,48.1,V10_Enhanced
SOXL,2024-03-21,90,70,2024-03-08,2024-03-08,20.09,2.19,3.63,7.13,12,multiple_red,True,5.06,7.24,5.06,7.24,True,0.57,False,87.4,1.02,3.96,3.96,1.53,1.84,2,48.1,V10_Enhanced
SOXL,2024-03-21,90,70,2024-03-08,2024-03-08,20.09,2.19,3.63,7.13,12,multiple_red,True,5.06,7.24,5.06,7.24,True,0.57,False,87.4,1.02,3.96,3.96,1.53,1.84,2,48.1,V10_Enhanced
SOXL,2024-03-21,90,70,2024-03-08,2024-03-08,20.09,2.19,3.63,7.13,12,multiple_red,True,5.06,7.24,5.06,7.24,True,0.57,False,87.4,1.02,3.96,3.96,1.53,1.84,2,48.1,V10_Enhanced
PLTR,2025-03-24,85,80,2025-02-19,2025-02-19,13.95,0.73,2.67,10.35,30,multiple_red,True,4.8,8.96,4.8,8.96,True,0.773,False,98.3,1.02,4.41,4.41,1.48,1.49,3,37.0,V10_Enhanced
TSLL,2024-07-15,85,50,2024-07-11,2024-07-11,11.53,1.14,3.28,3.68,1,outlier_fade,True,4.58,7.1,4.58,7.1,False,0.662,True,80.6,1.22,4.04,4.04,1.56,3.81,0,56.6,V10_Enhanced
TSLL,2025-01-14,80,90,2024-12-18,2024-12-18,19.63,1.06,3.17,10.28,26,multiple_red,True,7.61,11.45,7.61,11.45,True,0.851,True,98.1,0.79,-4.15,-4.15,0.89,0.36,5,28.4,V10_Enhanced
SMCI,2024-03-26,80,80,2024-03-08,2024-03-18,27.54,1.29,3.5,5.49,17,multiple_red,False,2.25,4.67,6.47,10.59,True,0.662,False,71.7,0.73,3.89,11.75,2.22,2.86,3,62.0,V10_Enhanced
SMCI,2024-03-26,80,80,2024-03-08,2024-03-18,27.54,1.29,3.5,5.49,17,multiple_red,False,2.25,4.67,6.47,10.59,True,0.662,False,71.7,0.73,3.89,11.75,2.22,2.86,3,62.0,V10_Enhanced
MSTR,2024-12-05,80,70,2024-11-21,2024-11-21,23.2,1.95,4.26,7.98,13,multiple_red,True,10.66,14.09,10.66,14.09,True,0.586,False,91.1,0.76,8.6,8.6,3.08,4.5,2,49.7,V10_Enhanced
MSTR,2024-12-05,80,70,2024-11-21,2024-11-21,23.2,1.95,4.26,7.98,13,multiple_red,True,10.66,14.09,10.66,14.09,True,0.586,False,91.1,0.76,8.6,8.6,3.08,4.5,2,49.7,V10_Enhanced
MSTR,2024-03-21,80,50,2024-03-15,2024-03-18,28.1,1.13,5.47,6.46,5,outlier_fade,False,5.64,11.8,7.93,15.08,True,0.661,False,98.1,0.93,2.73,6.11,1.68,6.1,0,62.2,V10_Enhanced
MSTR,2024-03-21,80,50,2024-03-15,2024-03-18,28.1,1.13,5.47,6.46,5,outlier_fade,False,5.64,11.8,7.93,15.08,True,0.661,False,98.1,0.93,2.73,6.11,1.68,6.1,0,62.2,V10_Enhanced
