symbol,date,trend_atr,gap_atr,extension_atr,range_close_pct,volume_multiple,change_atr,fade_atr,days_since_high,trend_start,euphoric_high,fade_type,consecutive_reds,outlier_volume,outlier_range_atr,dev_band_upper_05,d0_open,d0_high,dollar_volume_20d_m,scanner_version
TSLA,2025-01-14,16.97,0.85,2.63,98.0,0.74,0.66,6.59,26,2024-10-25,2024-12-18,multiple_red,5,1.77,5.29,415.78,414.34,422.64,38917.5,V10
AVGO,2024-12-24,11.11,1.19,2.3,87.3,0.9,1.78,3.0,7,2024-12-06,2024-12-16,multiple_red,3,3.4,3.33,230.76,240.12,240.23,9421.0,V10
TSLA,2024-11-18,8.69,1.92,3.03,74.4,1.01,0.93,3.68,4,2024-10-25,2024-11-11,multiple_red,3,2.16,2.26,327.83,340.73,348.55,32540.5,V10
TSLA,2024-07-15,9.88,0.86,2.54,80.7,1.31,0.8,2.54,1,2024-06-13,2024-07-11,outlier_fade,0,1.92,3.52,252.07,255.97,265.6,26516.9,V10
AVGO,2024-07-05,13.96,0.69,2.4,100.0,0.74,1.9,3.25,15,2024-05-08,2024-06-18,multiple_red,7,1.59,2.28,168.46,175.56,176.55,8856.6,V10
MU,2024-05-03,15.13,0.99,2.05,97.3,0.73,0.97,6.71,28,2024-02-26,2024-04-04,multiple_red,4,1.11,2.85,115.1,115.03,115.48,2471.9,V10
META,2024-04-24,18.68,1.13,1.8,72.8,1.08,1.36,3.35,15,2023-12-12,2024-04-08,multiple_red,2,1.1,2.07,505.05,508.06,510.0,7041.2,V10
NVDA,2024-03-21,25.9,1.0,2.12,98.3,0.77,0.51,3.66,12,2023-12-12,2024-03-08,multiple_red,2,1.92,5.88,91.16,92.3,92.65,53430.9,V10
AVGO,2024-03-21,14.66,1.84,3.58,80.5,1.08,1.36,5.82,16,2023-12-11,2024-03-04,multiple_red,5,1.37,2.3,131.2,132.83,140.36,4942.9,V10
AMD,2024-02-02,15.38,0.7,1.67,87.5,0.95,0.59,3.06,7,2023-11-03,2024-01-25,multiple_red,2,,,175.85,173.79,179.0,15819.1,V10
AMD,2023-06-09,9.59,0.67,1.74,77.5,0.9,0.86,2.62,9,2023-05-09,2023-05-30,multiple_red,2,1.1,2.23,122.84,123.57,127.25,8238.6,V10
MRVL,2023-06-02,12.53,0.52,1.67,71.3,1.19,1.21,3.2,2,2023-05-08,2023-05-30,multiple_red,6,2.09,2.43,58.47,62.22,62.48,1123.4,V10
META,2022-06-27,7.62,0.57,4.92,99.0,3.23,5.63,14.45,15,2022-06-09,2022-06-09,multiple_red,4,7.15,9.88,157.99,171.32,171.75,3356.7,V10
META,2022-06-24,7.85,1.47,3.69,81.8,2.26,1.47,20.69,14,2022-06-09,2022-06-09,multiple_red,4,7.15,9.88,154.62,161.72,170.25,2773.1,V10
