symbol,date,trend_atr,gap_atr,extension_atr,range_close_pct,volume_multiple,change_atr,fade_atr,days_since_high,trend_start,euphoric_high,fade_type,consecutive_reds,outlier_volume,outlier_range_atr,dev_band_upper_05,d0_open,d0_high,d_minus_1_avg_dollar_vol_20d,scanner_version,setup_grade
AMZN,2025-08-14,7.84,0.48,0.91,87.7,0.78,0.52,2.02,13,2025-05-01,2025-07-31,multiple_red,3,2.78,1.3,226.79,227.4,233.11,10412.5,V11,B
HOOD,2025-07-10,17.87,0.43,1.31,96.2,0.87,1.04,2.02,7,2025-04-23,2025-07-02,multiple_red,3,2.28,3.26,95.8,95.9,98.76,4236.3,V11,B
TSLA,2025-06-11,4.64,0.47,1.33,89.9,1.25,0.98,2.33,12,2025-04-25,2025-05-29,multiple_red,7,2.53,2.91,334.12,334.4,335.5,40146.3,V11,B
CVS,2025-05-01,10.78,3.1,3.83,92.5,1.08,0.91,2.57,22,2025-01-14,2025-04-08,multiple_red,3,2.44,2.53,67.75,72.5,72.51,782.3,V11,B
BABA,2025-04-23,15.93,0.99,1.75,64.9,0.92,1.54,8.75,36,2025-01-24,2025-03-17,multiple_red,3,2.58,2.23,116.28,119.59,123.81,3423.8,V11,B
BABA,2025-04-23,15.93,0.99,1.75,64.9,0.92,1.54,8.75,36,2025-01-24,2025-03-17,multiple_red,3,2.58,2.23,116.28,119.59,123.81,3423.8,V11,B
SPXS,2025-04-09,16.11,0.67,5.92,78.5,1.3,1.62,2.93,1,2025-02-25,2025-04-07,multiple_red,6,2.06,0.55,8.73,10.04,10.07,713.7,V11,B
META,2025-03-25,6.67,0.48,0.88,64.3,0.9,1.36,7.36,38,2025-01-06,2025-02-14,multiple_red,6,0.76,2.05,619.6,626.76,633.88,10887.3,V11,B
META,2025-03-25,6.67,0.48,0.88,64.3,0.9,1.36,7.36,38,2025-01-06,2025-02-14,multiple_red,6,0.76,2.05,619.6,626.76,633.88,10887.3,V11,B
META,2025-03-25,6.67,0.48,0.88,64.3,0.9,1.36,7.36,38,2025-01-06,2025-02-14,multiple_red,6,0.76,2.05,619.6,626.76,633.88,10887.3,V11,B
RBLX,2025-03-03,13.3,0.42,1.43,69.7,1.1,1.78,6.7,23,2024-10-31,2025-02-05,multiple_red,6,5.4,4.46,63.71,64.4,65.17,808.4,V11,B
INTC,2025-03-03,5.0,1.25,2.31,60.6,0.86,0.63,3.77,10,2025-02-12,2025-02-18,outlier_fade,0,2.58,3.11,24.3,25.0,25.04,2832.7,V11,B
TQQQ,2025-01-22,4.6,0.72,1.39,77.7,0.81,0.43,2.86,36,2024-11-06,2024-12-16,multiple_red,3,1.74,3.71,84.46,86.84,88.91,4152.5,V11,B
TQQQ,2025-01-22,4.6,0.72,1.39,77.7,0.81,0.43,2.86,36,2024-11-06,2024-12-16,multiple_red,3,1.74,3.71,84.46,86.84,88.91,4152.5,V11,B
AVGO,2025-01-21,10.58,0.59,1.29,87.9,0.93,1.17,2.11,32,2024-12-06,2024-12-16,multiple_red,7,3.4,3.33,236.27,241.5,242.75,7681.3,V11,B
MRVL,2025-01-06,16.74,1.2,2.21,95.8,0.74,1.36,2.35,18,2024-08-16,2024-12-16,multiple_red,2,1.81,3.28,116.66,122.29,123.41,1813.1,V11,B
SQ,2025-01-06,12.11,0.53,1.59,85.7,1.51,1.96,2.57,29,2024-09-16,2024-12-05,multiple_red,3,1.23,3.09,91.24,93.63,93.83,647.1,V11,B
QQQ,2025-01-06,8.9,0.76,1.6,85.0,0.93,1.17,2.87,18,2024-09-13,2024-12-16,multiple_red,3,2.03,3.11,524.09,524.02,527.92,16262.1,V11,B
