symbol,date,setup_grade,fade_grade,highest_high_date,brd_date,trend_atr,gap_atr,extension_atr,fade_atr,days_since_high,fade_type,brd_is_highest_high,brd_atr_ext_9ema,brd_atr_ext_20ema,hh_atr_ext_9ema,hh_atr_ext_20ema,hh_is_ath,d1_candle_body_ratio,d1_low_is_5day_low,d1_range_close_pct,d1_volume_multiple,d0_open_vs_vwap_hh_pct,d0_open_vs_vwap_brd_pct,d0_open_vs_9ema_atr,d0_open_vs_20ema_atr,consecutive_reds,d_minus_1_avg_dollar_vol_20d,scanner_version,setup_grade_type
VKTX,2024-03-04,95,60,2024-02-28,2024-02-29,53.94,2.85,5.66,8.61,2,outlier_fade,False,21.27,30.11,29.54,38.2,True,0.579,False,64.5,1.35,2.42,6.29,12.04,22.1,0,659.8,V11_Enhanced,B
VKTX,2024-03-04,95,60,2024-02-28,2024-02-29,53.94,2.85,5.66,8.61,2,outlier_fade,False,21.27,30.11,29.54,38.2,True,0.579,False,64.5,1.35,2.42,6.29,12.04,22.1,0,659.8,V11_Enhanced,B
META,2024-08-01,90,90,2024-07-08,2024-07-11,5.34,3.71,4.36,5.56,23,multiple_red,False,1.27,2.0,2.24,3.05,True,0.391,False,82.9,1.59,6.71,7.9,3.52,3.0,3,7469.1,V11_Enhanced,B
META,2024-08-01,90,90,2024-07-08,2024-07-11,5.34,3.71,4.36,5.56,23,multiple_red,False,1.27,2.0,2.24,3.05,True,0.391,False,82.9,1.59,6.71,7.9,3.52,3.0,3,7469.1,V11_Enhanced,B
META,2024-08-01,90,90,2024-07-08,2024-07-11,5.34,3.71,4.36,5.56,23,multiple_red,False,1.27,2.0,2.24,3.05,True,0.391,False,82.9,1.59,6.71,7.9,3.52,3.0,3,7469.1,V11_Enhanced,B
MARA,2024-01-04,90,90,2023-12-27,2023-12-29,18.66,0.61,3.18,6.72,7,multiple_red,False,4.39,7.62,6.49,10.33,True,0.814,True,90.6,1.18,-7.54,-1.28,-0.34,1.96,3,1827.3,V11_Enhanced,B
GME,2024-05-28,85,100,2024-05-14,2024-05-14,35.17,2.91,3.83,33.33,10,multiple_red,True,35.08,40.25,35.08,40.25,True,0.293,True,65.7,0.76,-27.65,-27.65,0.37,1.29,3,1670.2,V11_Enhanced,B
JPM,2024-04-23,85,100,2024-04-01,2024-04-12,22.36,0.68,2.03,4.55,21,multiple_red,False,-1.99,-2.03,1.68,3.25,True,0.825,False,82.8,1.09,0.9,3.62,1.26,0.58,7,2007.2,V11_Enhanced,B
GME,2024-05-28,85,100,2024-05-14,2024-05-14,35.17,2.91,3.83,33.33,10,multiple_red,True,35.08,40.25,35.08,40.25,True,0.293,True,65.7,0.76,-27.65,-27.65,0.37,1.29,3,1670.2,V11_Enhanced,B
GME,2024-05-28,85,100,2024-05-14,2024-05-14,35.17,2.91,3.83,33.33,10,multiple_red,True,35.08,40.25,35.08,40.25,True,0.293,True,65.7,0.76,-27.65,-27.65,0.37,1.29,3,1670.2,V11_Enhanced,B
AFRM,2024-01-22,85,90,2023-12-27,2023-12-29,18.15,1.4,3.03,6.22,23,multiple_red,False,2.25,5.1,3.32,6.47,True,0.678,False,97.7,0.76,-1.08,1.11,1.08,0.92,5,761.9,V11_Enhanced,B
HOOD,2024-11-06,85,55,2024-10-30,2024-10-31,6.92,2.7,3.23,3.61,6,outlier_fade,False,-0.12,0.46,1.23,2.36,True,0.497,False,63.2,0.81,5.87,7.32,1.27,1.67,0,415.8,V11_Enhanced,B
RBLX,2025-03-03,80,100,2025-02-05,2025-02-19,13.3,0.42,1.43,6.7,23,multiple_red,False,0.42,0.27,2.81,4.77,True,0.47,False,69.7,1.1,-0.35,4.06,1.13,0.39,6,808.4,V11_Enhanced,B
MRVL,2024-03-27,80,90,2024-03-07,2024-03-08,7.06,1.46,2.09,7.78,19,multiple_red,False,1.97,3.43,3.74,5.47,True,0.627,False,67.5,0.74,0.63,2.78,1.32,0.99,5,1306.3,V11_Enhanced,B
AMZN,2024-04-29,80,80,2024-04-11,2024-04-19,10.77,0.88,1.86,2.85,15,multiple_red,False,-0.62,-0.59,1.56,2.46,True,0.389,False,74.4,1.14,1.43,3.18,1.03,0.85,3,6965.9,V11_Enhanced,B
SOXL,2024-02-05,80,55,2024-01-25,2024-01-25,13.44,0.58,1.53,3.79,8,multiple_red,True,3.67,5.3,3.67,5.3,True,0.743,False,84.6,0.94,1.04,1.04,0.48,1.24,2,2317.8,V11_Enhanced,B
SOXL,2024-02-05,80,55,2024-01-25,2024-01-25,13.44,0.58,1.53,3.79,8,multiple_red,True,3.67,5.3,3.67,5.3,True,0.743,False,84.6,0.94,1.04,1.04,0.48,1.24,2,2317.8,V11_Enhanced,B
SOXL,2024-02-05,80,55,2024-01-25,2024-01-25,13.44,0.58,1.53,3.79,8,multiple_red,True,3.67,5.3,3.67,5.3,True,0.743,False,84.6,0.94,1.04,1.04,0.48,1.24,2,2317.8,V11_Enhanced,B
SOXL,2024-02-05,80,55,2024-01-25,2024-01-25,13.44,0.58,1.53,3.79,8,multiple_red,True,3.67,5.3,3.67,5.3,True,0.743,False,84.6,0.94,1.04,1.04,0.48,1.24,2,2317.8,V11_Enhanced,B
KWEB,2024-10-04,80,35,2024-10-02,2024-10-02,17.1,1.49,2.73,2.17,1,outlier_fade,True,8.41,12.63,8.41,12.63,True,0.538,False,65.2,1.25,1.01,1.01,5.06,9.74,0,1124.3,V11_Enhanced,B
TQQQ,2025-01-06,75,85,2024-12-16,2024-12-18,4.78,0.82,1.71,3.65,18,multiple_red,False,1.74,2.56,2.03,3.15,True,0.733,False,84.5,1.06,1.3,2.47,0.55,0.41,3,3691.3,V11_Enhanced,B
TQQQ,2025-01-06,75,85,2024-12-16,2024-12-18,4.78,0.82,1.71,3.65,18,multiple_red,False,1.74,2.56,2.03,3.15,True,0.733,False,84.5,1.06,1.3,2.47,0.55,0.41,3,3691.3,V11_Enhanced,B
MRVL,2025-01-06,70,70,2024-12-16,2024-12-17,16.74,1.2,2.21,2.35,18,multiple_red,False,3.1,5.17,4.1,6.43,True,0.855,False,95.8,0.74,7.16,8.31,2.2,3.16,2,1813.1,V11_Enhanced,B
TSLA,2025-06-11,65,90,2025-05-29,2025-06-05,4.64,0.47,1.33,2.33,12,multiple_red,False,-0.37,-0.14,1.24,2.36,False,0.65,False,89.9,1.25,4.35,9.56,0.65,0.63,7,40146.3,V11_Enhanced,B
HOOD,2025-07-10,65,75,2025-07-02,2025-07-08,17.87,0.43,1.31,2.02,7,multiple_red,False,2.56,4.57,4.43,6.67,True,0.56,False,96.2,0.87,0.96,1.34,1.08,3.11,3,4236.3,V11_Enhanced,B
AAPL,2024-06-27,60,85,2024-06-12,2024-06-20,13.91,0.42,1.19,2.05,14,multiple_red,False,1.63,3.72,6.15,7.84,True,0.415,False,61.8,0.75,1.21,2.15,1.27,2.79,3,18205.4,V11_Enhanced,B
AAPL,2024-06-27,60,85,2024-06-12,2024-06-20,13.91,0.42,1.19,2.05,14,multiple_red,False,1.63,3.72,6.15,7.84,True,0.415,False,61.8,0.75,1.21,2.15,1.27,2.79,3,18205.4,V11_Enhanced,B
