ticker,date,entry_price,exit_price,shares,pnl_per_share,total_pnl,exit_reason,stop_loss,fade_50,fade_70,fade_85,prev_close,gap_pct,pm_high_pct,day_high,day_low,day_close
SASI,2024-01-03,4.69,3.795,154,0.8950000000000005,137.83000000000007,fade_50,5.985,3.795,3.4370000000000003,3.1685,2.9,61.724137931034505,96.55172413793105,5.7,3.75,4.0
ABVC,2024-01-03,2.1699,1.93,496,0.23990000000000022,118.99040000000011,eod_close,2.5725000000000002,1.6849500000000002,1.49097,1.345485,1.2,80.82500000000003,104.1666666666667,2.45,1.75,1.93
NEXI,2024-01-03,7.35,6.2,47,1.1499999999999995,54.049999999999976,eod_close,11.518500000000001,4.8625,3.8674999999999997,3.12125,2.375,209.4736842105263,361.8947368421053,10.97,5.87,6.2
OMGA,2024-01-04,5.25,5.315,146,-0.06500000000000039,-9.490000000000057,eod_close,6.615,3.99,3.4859999999999998,3.108,2.73,92.3076923076923,130.76923076923075,6.3,4.78,5.315
MINM,2024-01-04,5.11,3.62,189,1.4900000000000002,281.61,eod_close,6.1635,3.41,2.73,2.2199999999999998,1.71,198.83040935672517,243.27485380116963,5.87,3.46,3.62
AIMD,2024-01-05,20.225,14.4375,87,5.787500000000001,503.5125000000001,fade_50,22.521975,14.4375,12.1225,10.38625,8.65,133.8150289017341,147.97109826589593,21.4495,12.6,13.7
SPEC,2024-01-08,2.61,2.33,255,0.2799999999999998,71.39999999999995,eod_close,3.3915,2.145,1.9589999999999999,1.8195,1.68,55.35714285714286,92.26190476190477,3.23,2.17,2.33
AMAM,2024-01-08,27.04,27.47,103,-0.4299999999999997,-44.28999999999997,eod_close,28.980000000000004,20.335,17.653,15.6415,13.63,98.38591342626557,102.49449743213499,27.6,26.9,27.47
HARP,2024-01-08,22.3,22.36,145,-0.05999999999999872,-8.699999999999815,eod_close,23.677500000000002,16.425,14.075000000000001,12.3125,10.55,111.37440758293837,113.74407582938386,22.55,22.22,22.36
BTBD,2024-01-09,2.95,2.57,792,0.38000000000000034,300.96000000000026,eod_close,3.2025,2.42355,2.21297,2.055035,1.8971,55.5005007643245,60.771704180064305,3.05,2.43,2.57
SNTG,2024-01-09,4.55,3.34,583,1.21,705.43,fade_50,4.893000000000001,3.34,2.856,2.493,2.13,113.6150234741784,118.7793427230047,4.66,3.25,3.47
CMND,2024-01-10,3.51,2.79,803,0.7199999999999998,578.1599999999999,fade_50,3.7590000000000003,2.79,2.502,2.286,2.07,69.56521739130434,72.94685990338165,3.58,2.66,2.93
NVNI,2024-01-10,2.64,2.037775,349,0.6022250000000002,210.17652500000008,fade_85,3.213,2.28575,2.14405,2.037775,1.9315,36.681335749417556,58.42609370955216,3.06,1.9701,2.39
CELU,2024-01-18,2.767,2.89,270,-0.12300000000000022,-33.21000000000006,eod_close,3.507,2.325,2.1482,2.0156,1.883,46.94636218799787,77.37652681890599,3.34,2.535,2.89
SGMT,2024-01-22,15.0,18.42,29,-3.4200000000000017,-99.18000000000005,eod_close,21.745500000000003,10.91,9.274000000000001,8.047,6.82,119.94134897360702,203.6656891495601,20.71,12.1,18.42
EVAX,2024-01-24,46.65,53.25,8,-6.600000000000001,-52.80000000000001,eod_close,71.4525,35.8,31.46,28.205,24.95,86.97394789579158,172.74549098196394,68.05,41.7505,53.25
