ticker,scan_date,c,gap,gap_pct,pm_high_pct,pm_vol,prev_close,prev_high,o,h,l,month
TGL,2025-01-03,19.5,27.134999999999998,286.3852242744063,311.6094986807388,6749902.06,9.475,9.475,36.61,39.0,16.5,2025-01
NITO,2025-01-03,2.64,1.1300000000000001,105.60747663551402,226.16822429906543,358291646.0,1.07,1.35,2.2,3.49,2.0,2025-01
MFI,2025-01-03,10.24,4.977600000000001,85.49051937345425,117.09260785930202,9900572.375,5.8224,6.2,10.8,12.64,8.64,2025-01
RHE,2025-01-06,3.56,2.75,177.41935483870967,338.7096774193548,41613441.0,1.55,1.55,4.3,6.8,3.0701,2025-01
FUBO,2025-01-06,5.06,2.54,176.3888888888889,268.05555555555554,682150133.0,1.44,1.48,3.98,5.3,3.05,2025-01
SPRC,2025-01-06,22.47,9.6453,87.00511460503884,239.07937109301005,9105020.0476,11.0859,11.4303,20.7312,37.59,18.0621,2025-01
MEGL,2025-01-06,3.596,2.7516,122.38035936666071,145.5079167407934,19780863.25,2.2484,2.32,5.0,5.52,3.264,2025-01
GFAI,2025-01-06,2.99,0.8499999999999999,44.041450777202066,101.03626943005182,71807120.0,1.93,1.93,2.78,3.88,2.64,2025-01
ARBE,2025-01-06,4.0,1.87,71.10266159695819,86.31178707224336,129861525.0,2.63,2.77,4.5,4.9,3.48,2025-01
KITT,2025-01-06,4.86,2.2300000000000004,58.68421052631581,58.94736842105264,50215832.0,3.8,3.95,6.03,6.04,4.18,2025-01
HOTH,2025-01-07,2.28,0.8503999999999999,103.7579306979014,363.6408003904344,417872674.0,0.8196,0.8196,1.67,3.8,1.44,2025-01
XTIA,2025-01-07,28.525,30.5,138.63636363636365,172.72727272727272,10671784.388,22.0,22.075,52.5,60.0,25.0,2025-01
SVMH,2025-01-07,4.2,1.0950000000000002,47.3002159827214,107.77537796976242,27753867.96,2.315,2.515,3.41,4.81,2.875,2025-01
MSAI,2025-01-07,2.48,1.15,57.49999999999999,66.5,56942348.0,2.0,2.1073,3.15,3.33,2.4,2025-01
IMRX,2025-01-07,2.36,1.3800000000000003,58.474576271186464,61.01694915254237,80920352.0,2.36,2.6,3.74,3.8,2.31,2025-01
INVZ,2025-01-07,2.2,0.72,36.18090452261307,57.78894472361811,84713917.0,1.99,2.05,2.71,3.14,2.12,2025-01
AUR,2025-01-07,8.39,2.5500000000000007,39.23076923076924,51.23076923076923,98923737.0,6.5,6.925,9.05,9.83,8.1505,2025-01
GETY,2025-01-07,3.19,1.1300000000000003,43.968871595330754,50.38910505836578,65771442.0,2.57,2.64,3.7,3.865,3.08,2025-01
CURR,2025-01-08,3.92,1.32,94.96402877697842,409.34532374100723,293274474.0,1.39,1.49,2.71,7.0799,2.56,2025-01
SANA,2025-01-08,4.3,4.42,267.8787878787879,342.4242424242425,161196062.0,1.65,1.91,6.07,7.3,4.12,2025-01
SILO,2025-01-08,1.71,0.8599999999999999,78.89908256880732,209.16513761467886,166105584.0,1.09,1.14,1.95,3.3699,1.66,2025-01
ACCD,2025-01-08,6.86,3.53,105.37313432835819,106.56716417910448,24748329.0,3.35,3.7,6.88,6.92,6.84,2025-01
TPET,2025-01-08,2.04,0.73,57.48031496062992,105.51181102362204,89318076.0,1.27,1.52,2.0,2.61,1.4,2025-01
VIR,2025-01-08,12.48,4.660000000000001,59.062103929024104,83.14321926489228,39488344.0,7.89,8.188,12.55,14.45,11.4701,2025-01
VMAR,2025-01-10,21.5,7.800000000000001,51.31578947368421,156.57894736842107,17557020.9,15.2,16.8,23.0,39.0,20.5,2025-01
DTIL,2025-01-10,5.7,2.3,51.11111111111111,65.3311111111111,19259558.0,4.5,4.91,6.8,7.4399,5.27,2025-01
PHIO,2025-01-13,6.6,2.47,146.15384615384616,479.2899408284024,281979243.0,1.69,1.7,4.16,9.79,4.11,2025-01
SLRX,2025-01-13,55.05,43.275,184.34504792332268,360.0638977635782,8017357.6667,23.475,24.45,66.75,108.0,54.15,2025-01
ATPC,2025-01-13,1.97,0.9299999999999999,73.8095238095238,132.53968253968256,84163203.0,1.26,1.3,2.19,2.93,1.79,2025-01
NMHI,2025-01-14,1.53,1.62,143.3628318584071,236.283185840708,167181229.0,1.13,1.73,2.75,3.8,1.43,2025-01
ERNA,2025-01-14,6.87,3.0150000000000006,65.04854368932041,210.67961165048547,38400207.0667,4.635,4.7295,7.65,14.4,6.4862,2025-01
AIFF,2025-01-14,3.15,2.5900000000000003,136.31578947368425,205.26315789473685,131280318.0,1.9,2.214,4.49,5.8,2.85,2025-01
HEES,2025-01-14,90.29,46.53,105.89440145653164,106.32680928538916,13288156.0,43.94,44.12,90.47,90.66,90.21,2025-01
STAF,2025-01-14,2.79,1.415,62.1978021978022,63.95604395604395,17597289.0,2.275,2.33,3.69,3.73,2.71,2025-01
FAMI,2025-01-15,3.5892,2.4756,65.74251115360103,87.82664117272148,5696813.4167,3.7656,3.8388,6.2412,7.0728,3.3624,2025-01
VMAR,2025-01-15,20.5,6.300000000000001,45.00000000000001,82.14285714285714,6713318.7,14.0,15.584,20.3,25.5,17.0,2025-01
OSTX,2025-01-15,4.36,2.59,62.25961538461537,68.26923076923077,19059205.0,4.16,4.7,6.75,7.0,4.0701,2025-01
BMRA,2025-01-16,5.648,6.000000000000001,214.28571428571433,262.8571428571429,49451075.125,2.8,2.96,8.8,10.16,4.4984,2025-01
VS,2025-01-17,2.76,1.48,77.08333333333334,97.39583333333334,65291137.0,1.92,2.1399,3.4,3.79,2.57,2025-01
NUKK,2025-01-17,29.5,12.969999999999999,63.17584023380418,94.10618606916708,19092598.0,20.53,21.2999,33.5,39.85,28.84,2025-01
