ticker,date,stage,entry_type,pnl_r,outcome,win,confidence,grade_a_rate,expected_r,risk_r,gap_pct,pm_high_pct,prev_close,entry_price,market_cap,win_streak,loss_streak,month
TGL,2025-01-03,frontside,opening_fbo,2.268472115352022,grade_a,1,0.75,0.75,1.8,0.5,286.3852242744063,311.6094986807388,9.475,36.61,,1,0,2025-01
NITO,2025-01-03,high_and_tight,opening_fbo,1.6429331881139588,grade_a,1,0.8,0.8,2.1,0.4,105.60747663551402,226.16822429906543,1.07,2.2,,2,0,2025-01
MFI,2025-01-03,backside_pop,opening_fbo,2.3218262147297652,grade_a,1,0.728,0.728,1.8,0.4,85.49051937345425,117.09260785930202,5.8224,10.8,,3,0,2025-01
RHE,2025-01-06,high_and_tight,opening_fbo,2.6171327306535925,grade_a,1,0.8,0.8,2.1,0.4,177.4193548387097,338.7096774193548,1.55,4.3,,4,0,2025-01
FUBO,2025-01-06,high_and_tight,opening_fbo,2.072198870178279,grade_a,1,0.8,0.8,2.1,0.4,176.3888888888889,268.05555555555554,1.44,3.98,,5,0,2025-01
SPRC,2025-01-06,backside_pop,opening_fbo,1.7015208572013276,grade_a,1,0.728,0.728,1.8,0.4,87.00511460503884,239.07937109301005,11.0859,20.7312,,6,0,2025-01
MEGL,2025-01-06,backside_pop,opening_fbo,1.5463267535552925,grade_a,1,0.728,0.728,1.8,0.4,122.38035936666073,145.5079167407934,2.2484,5.0,,7,0,2025-01
GFAI,2025-01-06,deep_backside,opening_fbo,1.8641992011224735,grade_a,1,0.75,0.75,1.6,0.4,44.041450777202066,101.03626943005182,1.93,2.78,,8,0,2025-01
ARBE,2025-01-06,deep_backside,opening_fbo,0.10176727465857283,grade_b,1,0.75,0.75,1.6,0.4,71.10266159695819,86.31178707224336,2.63,4.5,,9,0,2025-01
KITT,2025-01-06,deep_backside,opening_fbo,1.3538972243651735,grade_a,1,0.75,0.75,1.6,0.4,58.68421052631581,58.94736842105264,3.8,6.03,,10,0,2025-01
HOTH,2025-01-07,high_and_tight,opening_fbo,1.9594523174100225,grade_a,1,0.8,0.8,2.1,0.4,103.7579306979014,363.6408003904344,0.8196,1.67,,11,0,2025-01
XTIA,2025-01-07,high_and_tight,opening_fbo,-0.1441914106556337,grade_b,0,0.8,0.8,2.1,0.4,138.63636363636363,172.72727272727272,22.0,52.5,,0,1,2025-01
SVMH,2025-01-07,deep_backside,opening_fbo,1.5820412925173934,grade_a,1,0.75,0.75,1.6,0.4,47.3002159827214,107.77537796976242,2.315,3.41,,1,0,2025-01
MSAI,2025-01-07,deep_backside,opening_fbo,1.5107009735034467,grade_a,1,0.75,0.75,1.6,0.4,57.49999999999999,66.5,2.0,3.15,,2,0,2025-01
IMRX,2025-01-07,deep_backside,opening_fbo,1.8887381413362303,grade_a,1,0.75,0.75,1.6,0.4,58.474576271186464,61.01694915254237,2.36,3.74,,3,0,2025-01
