ticker,date,open,high,low,close,volume,prev_close,prev_high,pm_high_ratio,gap_amount,open_prev_high_ratio,pm_vol,ema200,ema_ratio,market_cap_millions,historical_days,ema_valid,scan_date
AUUD,2024-09-03,24.82,26.86,18.19,19.21,6236340.7647,14.5384,15.64,0.8475210477081385,10.281600000000001,0.5869565217391304,6236340.7647,52.769333951787935,0.36403718905285,3.8006764191999998,342,1,2024-09-03
SIFY,2024-09-03,4.8246,5.46,3.7608,3.9666,40308184.0,1.9872,2.0994,1.747584541062802,2.8374,1.2980851671906257,40308184.0,5.834957538656287,0.6797992913781263,143.5193672976,342,1,2024-09-03
NVVE,2024-09-18,6.62,7.6,4.55,5.04,14124608.0,4.24,4.4399,0.7924528301886791,2.38,0.4910245726255098,14124608.0,31.139280477704038,0.16185345077606011,2.76754128,343,1,2024-09-18
PRTG,2024-09-18,12.64,23.01,8.8,9.91,51568822.0,4.53,4.89,4.079470198675497,8.11,1.5848670756646221,51568822.0,13.017312426536035,0.7612938581544897,4.75090545,343,1,2024-09-18
MGRX,2024-10-01,6.207,7.659,4.2075,4.476,13510448.4667,3.54,3.933,1.1635593220338984,2.667,0.5781845919145692,13510448.4667,5.96450265632369,0.7504397697357803,7.057769508,342,1,2024-10-01
EFSH,2024-10-31,5.025,5.352,3.1425,3.975,12660243.8667,2.913,3.525,0.8372811534500517,2.1120000000000005,0.4255319148936172,12660243.8667,246.36423689066052,0.01613464701763574,0.3188335183,345,1,2024-10-31
AGFY,2024-11-05,5.51,5.64,3.82,4.4,21302438.0,3.14,3.2719,0.7961783439490444,2.3699999999999997,0.6840367981906537,21302438.0,8.608793509955547,0.5111053012145857,4.1818206,344,1,2024-11-05
ZVSA,2024-11-05,2.66,3.37,2.3501,2.54,63497939.0,1.82,1.93,0.8516483516483517,0.8400000000000001,0.37823834196891193,63497939.0,9.498535647960248,0.2674096401949546,1.95503672,344,1,2024-11-05
ALBT,2024-11-05,4.11,4.69,3.2101,3.6,33704337.0,2.24,2.49,1.09375,1.87,0.6506024096385543,33704337.0,5.883041557237832,0.6119283647709347,2.3869708800000002,344,1,2024-11-05
HOLO,2024-12-30,180.4,312.4,136.8,256.4,5546153.875,96.0,96.0,2.2541666666666664,84.4,0.8791666666666667,5546153.875,2337.443969854596,0.10969246891336167,49.306075199999995,343,1,2024-12-30
VINC,2024-12-30,6.218,10.374,5.716,6.5,16779654.05,3.88,4.1,1.6737113402061858,2.338,0.5165853658536586,16779654.05,15.50009385953016,0.419352299341304,6.528255976,343,1,2024-12-30
NLSP,2024-12-30,2.82,2.95,2.34,2.72,21337379.0,1.82,1.94,0.6208791208791209,0.9999999999999998,0.45360824742268036,21337379.0,7.501094167806083,0.3626137652922633,4.311225100000001,343,1,2024-12-30
